table_name,column_name,rule_no,business_rule_definition,attribute_group,dimension,functionality,expected
Customer,CUSTOMERID,CUSTM_1.1,CustomerId should contain a number (alphanumeric) ,Customer details,Completeness,not_contain_number,
Customer,CUSTOMERID,CUSTM_1.2,CustomerId should not contain special character,Customer details,Completeness,special_character,
Customer,CUSTOMERID,CUSTM_1.3,CustomerID should not be null,Customer details,Completeness,null,
Customer,CUSTOMERID,CUSTM_1.20,Length should upto 8-10 characters,Customer details,Conformity,ranged_length,"8,10"
Customer,CUSTOMERTYPEID,CUSTM_1.4,Length should be only 2 charcater,Customer details,Conformity,fixed_length,2
Customer,CUSTOMERTYPEID,CUSTM_1.5,CustomerTypeID should not be null,Customer details,Completeness,null,
Customer,CUSTOMERTYPEID,CUSTM_1.6,CustomerTypeID should not contain special character,Customer details,Completeness,special_character,
Customer,CUSTOMERTYPEID,CUSTM_1.7,"Defaulted to ""CAPITALIZED""",Customer details,Completeness,is_lower,
Customer,COUNTRY,CUSTM_1.8,Country should not contain special character.,Customer details,Completeness,special_character,
Customer,COUNTRY,CUSTM_1.9,Country should not be null,Customer details,Completeness,null,
Customer,COUNTRY,CUSTM_1.10,"Defaulted to ""CAPITALIZED""",Customer details,Completeness,is_lower,
Customer,COUNTRY,CUSTM_1.21,Length should be 2 characters,Customer details,Conformity,fixed_length,2
Customer,LANGUAGE,CUSTM_1.11,Language should not be null,Customer details,Completeness,null,
Customer,LANGUAGE,CUSTM_1.12,Default to 'EN',Customer details,Completeness,not_like,EN
Customer,LANGUAGE,CUSTM_1.13,Default to 'CAPITALIZED',Customer details,Completeness,is_lower,
Customer,LANGUAGE,CUSTM_1.22,Length should be 2 characters,Customer details,Conformity,fixed_length,2
Customer,CREATEDBY,CUSTM_1.14,Created by should not be null,Customer details,Completeness,null,
Customer,CREATEDAT,CUSTM_1.15,"It should be in Dateformat ""YYYYMMDD""",Customer details,Completeness,date_format,
Customer,CREATEDAT,CUSTM_1.16,Created at should not be null,Customer details,Completeness,null,
Customer,CHANGEDBY,CUSTM_1.17,Changed by should not be null,Customer details,Completeness,null,
Customer,CHANGEDAT,CUSTM_1.18,"It should be in Dateformat ""YYYYMMDD""",Customer details,Completeness,date_format,
Customer,CHANGEDAT,CUSTM_1.19,ChangedAt at should not be null,Customer details,Completeness,null,
Customer,"LANGUAGE, COUNTRY, CUSTOMERTYPEID",CUSTM_1.23,Length should be less than given length,Customer details,Completeness,length,20
