Timestamp,Question,Answer Source,Answer,,,,,,
06-02-2026 17:17,What is Data Quality?,FAQ,Data Quality validates data using predefined rules.,,,,,,
06-02-2026 17:17,What is Data Quality?,FAQ,Data Quality validates data using predefined rules.,,,,,,
06-02-2026 17:17,What is Data Quality?,FAQ,Data Quality validates data using predefined rules.,,,,,,
06-02-2026 17:17,What is Data Quality?,FAQ,Data Quality validates data using predefined rules.,,,,,,
06-02-2026 17:17,How to view raw data?,FAQ,Navigate to Raw Data and select a table.,,,,,,
06-02-2026 21:29,What is Data Quality?,FAQ,Data Quality validates data using predefined rules.,,,,,,
06-02-2026 21:29,How to view raw data?,FAQ,Navigate to Raw Data and select a table.,,,,,,
06-02-2026 21:49,How does the chatbot answer questions?,FAQ,The chatbot first checks predefined FAQs and uses AI only if no predefined answer is available.,,,,,,
06-02-2026 21:49,What are Master Rules?,FAQ,Master Rules define data validation logic such as null checks, range checks, pattern checks, and business rules.,,,
06-02-2026 21:50,how can i use this portal for my enterprise ,LLM,AI assistant is temporarily unavailable. Please contact admin.,,,,,,
09-02-2026 12:16,How does the chatbot answer questions?,FAQ,The chatbot first checks predefined FAQs and uses AI only if no predefined answer is available.,,,,,,
09-02-2026 12:16,How do I run Data Quality checks?,FAQ,Go to the Data Quality section, select the source table, and click Run to execute all applicable rules.,,,,
09-02-2026 18:04,How do I run Data Quality checks?,FAQ,Go to the Data Quality section, select the source table, and click Run to execute all applicable rules.,,,,
09-02-2026 18:07,What is Data Quality?,FAQ,Data Quality ensures data accuracy, completeness, and consistency by validating data against predefined business rules.,,,,
09-02-2026 18:07,What are the main features of the portal?,FAQ,The portal provides three main features namely : Data Quality Reports, Inspect Business Rule Violations and View Raw Data,,,,,
09-02-2026 18:07,How do I run Data Quality Business Rules checks?,FAQ,Go to the Inspect Business Rule section, click on query now > select the table name to check > select the particular column name > select the business rule definition from the dropdown > click Run to check businessn rule violation.,,,,,
09-02-2026 18:08,What are Business Rules?,FAQ,Master Rules define data validation logic such as null checks, range checks, pattern checks, and business rules.,,,
09-02-2026 18:11,What is Data Quality?,FAQ,Data Quality ensures data accuracy, completeness, and consistency by validating data against predefined business rules.,,,,
09-02-2026 18:11,How do I run Data Quality Business Rules checks?,FAQ,Go to the Inspect Business Rule section, click on query now > select the table name to check > select the particular column name > select the business rule definition from the dropdown > click Run to check businessn rule violation.,,,,,
09-02-2026 18:11,What are Business Rules?,FAQ,Master Rules define data validation logic such as null checks, range checks, pattern checks, and business rules.,,,
09-02-2026 18:11,How do I run Data Quality Business Rules checks?,FAQ,Go to the Inspect Business Rule section, click on query now > select the table name to check > select the particular column name > select the business rule definition from the dropdown > click Run to check businessn rule violation.,,,,,
09-02-2026 18:12,How do I run Data Quality Business Rules checks?,FAQ,Go to the Inspect Business Rule section, click on query now > select the table name to check > select the particular column name > select the business rule definition from the dropdown > click Run to check businessn rule violation.,,,,,
09-02-2026 18:39,What if the desired Business Rule is not available in the dropdown?,FAQ,There are limited rules available on the dropdown: ,,,,,,
09-02-2026 18:39,How to desired custom rule to business rule definition dropdown for next time?,FAQ,Click on the Add to Master Rule button available above the output records when a custom rule is executed, the rule will be added to the dropdwon.,,,,,
09-02-2026 18:39,What if the desired Business Rule is not available in the dropdown?,FAQ,There are limited rules available on the dropdown: ,,,,,,
09-02-2026 18:55,How do I run Data Quality Business Rules checks?,FAQ,Go to the Inspect Business Rule section, click on query now > select the table name to check > select the particular column name > select the business rule definition from the dropdown > click Run to check businessn rule violation.,,,,,
09-02-2026 18:55,How do I run Data Quality Business Rules checks?,FAQ,Go to the Inspect Business Rule section, click on query now > select the table name to check > select the particular column name > select the business rule definition from the dropdown > click Run to check businessn rule violation.,,,,,
09-02-2026 21:49,hi,LLM,Hello. How can I assist you with the Genesis Data Quality Portal today? Do you have questions about portal usage, Power BI reports, or Data Quality rules?,,,,
09-02-2026 21:49,portal usage,LLM,To access the Genesis Data Quality Portal, users must log in with their credentials. The portal provides an overview of data quality metrics, allowing users to monitor and analyze data health. Key features include:,,,,
10-02-2026 13:29,hi,LLM,Hello. How can I assist you with the Genesis Data Quality Portal today? Do you have questions about portal usage, Power BI reports, or Data Quality rules?,,,,
10-02-2026 13:56,Is it worth using portal?,LLM,The Genesis Data Quality Portal is a valuable tool for monitoring and improving data quality. It provides a centralized platform to track data issues, view Power BI reports, and manage Data Quality Control Centre rules. If you work with data, using the portal can help you identify and resolve data quality issues efficiently, making it a worthwhile resource.,,
10-02-2026 14:02,Is it worth using the portal?,LLM_DIRECT,The Genesis Data Quality Portal is a valuable tool for monitoring and improving data quality. It provides a centralized platform for tracking data issues, assigning tasks, and collaborating with team members. The portal's features, such as the Data Quality Control Centre and Power BI reports, enable users to identify and address data quality problems efficiently. Additionally, the portal's DQ rules help to automate data validation and ensure data consistency. Overall, using the portal can help streamline data quality management and improve overall data accuracy.
10-02-2026 14:04,Is it worth using the portal?,LLM_DIRECT,The Genesis Data Quality Portal is a valuable tool for monitoring and improving data quality. It provides a centralized platform to track data issues, view Power BI reports, and manage Data Quality Control Centre rules. If you work with data, using the portal can help you identify and resolve data quality issues efficiently, making it a worthwhile resource.,,
10-02-2026 14:06,thanks,LLM_DIRECT,You're welcome. How can I assist you with the Genesis Data Quality Portal today?,,,,,,
10-02-2026 14:08,thanks,LLM_DIRECT,You're welcome. How can I assist you with the Genesis Data Quality Portal today?,,,,,,
