category,sub_category,question_id,level,parent_question,question,answer
Data Quality,Overview,DQ_001,1,,What is Data Quality?,"Data Quality ensures data accuracy, completeness, and consistency by validating data against predefined business rules."
Business Rules,Execution,DQ_002,1,,How do I run Data Quality Business Rules checks?,"Go to the Inspect Business Rule section, click on query now > select the table name to check > select the particular column name > select the business rule definition from the dropdown > click Run to check businessn rule violation."
Business Rules,Execution,DQ_003,2,DQ_002,How to check it there are rule violations?,"After you run the Inspect Business Rule Violations, the system will flash a notification bar at the bottom of tha page stating the number of records violating the rule. Also, if the records are found violating the rules, the records will be displayed at the same page below the input form."
Business Rules,Rules,DQ_004,2,DQ_002,What if the desired Business Rule is not available in the dropdown?,There are limited rules available on the dropdown: 
Business Rules,Rules,DQ_005,2,DQ_004,How to run desired custom rule?,"Click on the Rule Not Available button present at the bottom of the input form > a new form appears, enter required inputs > Run the  Rule "
Business Rules,Rules,DQ_006,2,DQ_004,How to desired custom rule to business rule definition dropdown for next time?,"Click on the Add to Master Rule button available above the output records when a custom rule is executed, the rule will be added to the dropdwon."
Business Rules,Mapping,MR_004,2,DQ_004,How are rules linked to tables?,"Rules are dynamically mapped to the input tables name, column names of provided by the user, else the llm behind automatically decided the table and column based on the custom rule input by the user."
Business Rules,Overview,MR_001,1,,What are Business Rules?,"Master Rules define data validation logic such as null checks, range checks, pattern checks, and business rules."
Portal Overview,General,PO_001,1,,What is Genesis Data Quality Portal?,"Genesis Data Quality Portal is a centralized platform to validate data quality, manage business rules applicable on data, raw data exploration,  AI-assisted business rule violation queries for data, and analyze data quality reports using Power BI."
Portal Overview,Navigation,PO_002,1,,What are the main features of the portal?,"The portal provides three main features namely : Data Quality Reports, Inspect Business Rule Violations and View Raw Data"
Portal Overview,Access,PO_003,1,,Who can use the Genesis Data Quality Portal?,"Business users, data analysts, and data engineers can use the portal based on assigned roles and permissions."
Raw Data,Overview,RD_001,1,,What is the Raw Data section?,The Raw Data section allows users to view source table data directly from the database.
Raw Data,Usage,RD_002,1,,How do I view raw data?,Click on View Data button on View Raw Data card on home page  > select a table name > click on fetch data > the system will fetch and display all records.
Raw Data,Limit,RD_003,2,RD_002,Is the entire data loaded at once?,"Yes, the entire data is loaded at once. Scroll down to view the entire raw data"
Data Quality Reports,Overview,DR_001,1,,What is Data Quality Report?,"The portal provides Data Quality Summary, rule-wise data quality analysis, and table-level statistics using Power BI."
Data Quality Reports,Overview,DR_002,1,,What does the existing rules table specify?,"The existing data quality input rules signifies the business rules available in the backend system, on the basis of which data quality reports are generated."
Data Quality Reports,PowerBI,DR_003,1,,How do I view the Data Quality report?,"On the home page menu navigate to data quality report section > a page appears with two navigating options: Existing Rules and Data Quality Report, click on Data Quality Report > A Power BI based data quality report opens up."
Data Quality Reports,PowerBI,DR_004,2,DR_003,What information does the Data Quality report show?,"Each slide in the report shows a different parameter, such as total records, inactive records percentage, duplicity percentage, country wise inactive records for the particular domain, etc."
Data Quality Reports,Refresh,DR_005,2,DR_003,Is the Power BI report refreshed automatically?,"Yes, the Power BI report refreshes automatically according to the scheduled refresh."
Security,Access,SC_001,1,,Is my data secure in the portal?,"Yes, the portal accesses data securely using controlled database connections and role-based access."
Security,Audit,SC_002,1,,Are user activities logged?,"Yes, all major activities including Data Quality runs and chatbot queries are logged for audit purposes."
Troubleshooting,Errors,TR_001,1,,What should I do if Data Quality does not run?,"Check table name, column name and rule definition. Contact the administrator if the issue persists."
Troubleshooting,Reports,TR_002,1,,What if the Power BI report does not load?,Try refreshing the page.
Troubleshooting,Reports,TR_003,1,,What if the Custom Desired is still not available in the dropdown?,Try refreshing the page.
