file_id,Title,table_name,column_name,rule_no,business_rule_definition,attribute_group,dimension,functionality,expected
1,,Customer,COUNTRY,CUSTM_1.8,Country should not contain special character,Customer details,Completeness,special_character,
1,,Customer,"CUSTOMERID,CUSTOMERTYPEID",CUSTM_1.23,Length should be less than given length,Customer details,Completeness,length,11
1,,GLAccounts,"ACCOUNTID,ACCOUNTTYPEID,LANGUAGE",CUSTM_1.23,Length should be less than given length,GL details,Completeness,length,10
1,,ProductCategoryTexts,SHORT_DESCR,GLCOM_10.11,Length should be in range of 2-4 characters,Product details,Conformity,fixed_length,6
1,,FinancialTransactions,PROFITCENTERID,DUPL_1.1,Check duplicates for the record,Finance details,Duplicity,duplicity,null
1,,Customer,CUSTOMERID,CUSTM_1.1,CustomerId should contain a number (alphanumeric) ,Customer details,Completeness,not_contain_number,
1,,Customer,CUSTOMERID,CUSTM_1.2,CustomerId should not contain special character,Customer details,Completeness,special_character,
1,,Customer,CUSTOMERID,CUSTM_1.3,CustomerID should not be null,Customer details,Completeness,null,
1,,Customer,CUSTOMERID,CUSTM_1.20,Length should upto 8-10 characters,Customer details,Conformity,ranged_length,"8,10"
1,,Customer,CUSTOMERTYPEID,CUSTM_1.4,Length should be only 2 charcater,Customer details,Conformity,fixed_length,2
1,,Customer,CUSTOMERTYPEID,CUSTM_1.5,CustomerTypeID should not be null,Customer details,Completeness,null,
1,,Customer,CUSTOMERTYPEID,CUSTM_1.6,CustomerTypeID should not contain special character,Customer details,Completeness,special_character,
1,,Customer,CUSTOMERTYPEID,CUSTM_1.7,"Defaulted to ""CAPITALIZED""",Customer details,Completeness,is_lower,
1,,Customer,COUNTRY,CUSTM_1.8,Country should not contain special character.,Customer details,Completeness,special_character,
1,,Customer,COUNTRY,CUSTM_1.9,Country should not be null,Customer details,Completeness,null,
1,,Customer,COUNTRY,CUSTM_1.10,"Defaulted to ""CAPITALIZED""",Customer details,Completeness,is_lower,
1,,Customer,COUNTRY,CUSTM_1.21,Length should be 2 characters,Customer details,Conformity,fixed_length,2
1,,Customer,LANGUAGE,CUSTM_1.11,Language should not be null,Customer details,Completeness,null,
1,,Customer,LANGUAGE,CUSTM_1.12,Default to 'EN',Customer details,Completeness,not_like,EN
1,,Customer,LANGUAGE,CUSTM_1.13,Default to 'CAPITALIZED',Customer details,Completeness,is_lower,
1,,Customer,LANGUAGE,CUSTM_1.22,Length should be 2 characters,Customer details,Conformity,fixed_length,2
1,,Customer,CREATEDBY,CUSTM_1.14,Created by should not be null,Customer details,Completeness,null,
1,,Customer,CREATEDAT,CUSTM_1.15,"It should be in Dateformat ""YYYYMMDD""",Customer details,Completeness,date_format,
1,,Customer,CREATEDAT,CUSTM_1.16,Created at should not be null,Customer details,Completeness,null,
1,,Customer,CHANGEDBY,CUSTM_1.17,Changed by should not be null,Customer details,Completeness,null,
1,,Customer,CHANGEDAT,CUSTM_1.18,"It should be in Dateformat ""YYYYMMDD""",Customer details,Completeness,date_format,
1,,Customer,CHANGEDAT,CUSTM_1.19,ChangedAt at should not be null,Customer details,Completeness,null,
1,,Customer,"LANGUAGE, COUNTRY, CUSTOMERTYPEID",CUSTM_1.23,Length should be less than given length,Customer details,Completeness,length,20
1,,CustomersHierarchy,HIERARCHYID,CUSTM_2.1,Hierarchyid should not contain special character.,Customer details,Completeness,special_character,
1,,CustomersHierarchy,HIERARCHYID,CUSTM_2.2,Hierarchyid should contain a number (alphanumeric) . ,Customer details,Completeness,not_contain_number,
1,,CustomersHierarchy,HIERARCHYID,CUSTM_2.3,Hierarchyid should not be null,Customer details,Completeness,null,
1,,CustomersHierarchy,DESCRIPTION,CUSTM_2.4,Description should not be null,Customer details,Completeness,null,
